0,-1,1059,797,31,31,0.9994444251060486,-1,-1,-1
1,-1,1059,796,31,32,0.9992218017578125,-1,-1,-1
2,-1,1059,796,31,32,0.9992200136184692,-1,-1,-1
3,-1,1059,796,31,32,0.9992209672927856,-1,-1,-1
4,-1,1059,796,31,32,0.9992235898971558,-1,-1,-1
5,-1,1065,796,25,29,0.9921427965164185,-1,-1,-1
62,-1,1298,702,29,27,0.9910702705383301,-1,-1,-1
63,-1,1298,703,28,27,0.9899610280990601,-1,-1,-1
64,-1,1301,698,30,29,0.9933974742889404,-1,-1,-1
65,-1,1308,696,29,29,0.9975156784057617,-1,-1,-1
66,-1,1316,695,31,28,0.9945766925811768,-1,-1,-1
70,-1,1333,850,29,32,0.9974772334098816,-1,-1,-1
71,-1,1340,879,34,37,0.9972608089447021,-1,-1,-1
72,-1,1354,916,31,34,0.9950093030929565,-1,-1,-1
73,-1,1360,914,31,37,0.9961060881614685,-1,-1,-1
74,-1,1365,892,30,34,0.9885988235473633,-1,-1,-1
75,-1,1365,892,30,34,0.9889700412750244,-1,-1,-1
76,-1,1367,870,32,30,0.9890890717506409,-1,-1,-1
79,-1,1374,810,37,34,0.96344393491745,-1,-1,-1
90,-1,1314,818,28,33,0.9629994034767151,-1,-1,-1
95,-1,1438,773,35,32,0.9702043533325195,-1,-1,-1
96,-1,1442,766,35,39,0.9900715351104736,-1,-1,-1
97,-1,1443,767,39,39,0.9959627985954285,-1,-1,-1
98,-1,1447,762,40,39,0.9973185658454895,-1,-1,-1
99,-1,1447,762,39,41,0.9980155229568481,-1,-1,-1
100,-1,1451,762,37,37,0.9942572116851807,-1,-1,-1
100,-1,1490,720,32,31,0.9555087089538574,-1,-1,-1
101,-1,1455,758,35,40,0.9666689038276672,-1,-1,-1
103,-1,1457,758,36,36,0.9831027388572693,-1,-1,-1
104,-1,1459,756,37,35,0.9878385066986084,-1,-1,-1
105,-1,1459,756,37,35,0.9880028963088989,-1,-1,-1
106,-1,1463,756,35,36,0.9862641096115112,-1,-1,-1
113,-1,1486,753,33,39,0.9766804575920105,-1,-1,-1
114,-1,1491,758,35,34,0.996590256690979,-1,-1,-1
115,-1,1496,757,34,35,0.9898692965507507,-1,-1,-1
116,-1,1502,757,33,38,0.9909878373146057,-1,-1,-1
117,-1,1502,758,33,37,0.9911490678787231,-1,-1,-1
118,-1,1512,754,33,40,0.9739351868629456,-1,-1,-1
119,-1,1516,758,34,33,0.9767760038375854,-1,-1,-1
121,-1,1535,749,36,36,0.9612624049186707,-1,-1,-1
125,-1,1561,733,33,33,0.9884190559387207,-1,-1,-1
126,-1,1566,733,32,30,0.991636335849762,-1,-1,-1
127,-1,1576,729,28,31,0.985318660736084,-1,-1,-1
128,-1,1581,721,31,32,0.9989680051803589,-1,-1,-1
128,-1,1465,557,30,30,0.9661009311676025,-1,-1,-1
129,-1,1581,721,31,32,0.9990270137786865,-1,-1,-1
129,-1,1465,557,30,30,0.9635124206542969,-1,-1,-1
130,-1,1585,717,33,32,0.9980809688568115,-1,-1,-1
131,-1,1591,712,34,35,0.9986708164215088,-1,-1,-1
132,-1,1595,707,33,35,0.997648298740387,-1,-1,-1
133,-1,1598,703,32,32,0.9961873888969421,-1,-1,-1
134,-1,1601,704,37,31,0.9570339322090149,-1,-1,-1
135,-1,1601,703,37,32,0.9579137563705444,-1,-1,-1
135,-1,1701,572,34,38,0.9571563005447388,-1,-1,-1
136,-1,1605,705,40,34,0.99540114402771,-1,-1,-1
137,-1,1611,707,36,36,0.9929770827293396,-1,-1,-1
138,-1,1617,717,35,36,0.9969131946563721,-1,-1,-1
139,-1,1621,723,36,37,0.9991015195846558,-1,-1,-1
139,-1,1046,275,43,42,0.9910160303115845,-1,-1,-1
140,-1,1626,734,38,33,0.9987072944641113,-1,-1,-1
140,-1,1015,275,40,41,0.987316906452179,-1,-1,-1
141,-1,1626,734,37,33,0.9987781643867493,-1,-1,-1
141,-1,1015,275,40,41,0.9871897101402283,-1,-1,-1
142,-1,1632,749,36,33,0.9990620017051697,-1,-1,-1
142,-1,981,277,39,48,0.9881815314292908,-1,-1,-1
143,-1,1637,771,36,31,0.9970146417617798,-1,-1,-1
143,-1,947,282,36,46,0.9556120038032532,-1,-1,-1
144,-1,912,290,41,43,0.9820035099983215,-1,-1,-1
144,-1,1642,791,33,38,0.9738707542419434,-1,-1,-1
145,-1,1648,825,36,30,0.9950775504112244,-1,-1,-1
145,-1,881,299,37,43,0.9892432689666748,-1,-1,-1
151,-1,1670,855,32,33,0.9942935109138489,-1,-1,-1
152,-1,1668,831,35,34,0.9987940788269043,-1,-1,-1
153,-1,1668,831,35,34,0.9987996816635132,-1,-1,-1
154,-1,1670,815,36,31,0.9892352223396301,-1,-1,-1
155,-1,1669,799,39,38,0.9918352365493774,-1,-1,-1
157,-1,1671,769,44,37,0.9822944402694702,-1,-1,-1
161,-1,1687,756,33,39,0.9655416011810303,-1,-1,-1
166,-1,498,443,39,36,0.9696447253227234,-1,-1,-1
167,-1,1709,765,33,36,0.9887633323669434,-1,-1,-1
168,-1,1713,777,32,33,0.997654378414154,-1,-1,-1
168,-1,497,428,47,34,0.9818436503410339,-1,-1,-1
169,-1,1713,798,30,33,0.9979016780853271,-1,-1,-1
169,-1,504,427,43,37,0.9780520796775818,-1,-1,-1
170,-1,1711,825,28,28,0.9756197929382324,-1,-1,-1
171,-1,1712,823,27,30,0.9764271974563599,-1,-1,-1
172,-1,519,430,39,35,0.9916602969169617,-1,-1,-1
185,-1,620,622,46,45,0.9971670508384705,-1,-1,-1
